,id,age
0,15,25
1,48,36
2,51,24
3,68,25
4,70,35
5,72,23
6,77,24
7,82,54
8,84,23
9,85,38
10,87,42
11,90,22
12,96,25
13,97,35
14,116,23
15,140,25
16,155,53
17,158,26
18,165,27
19,168,26
20,176,72
21,177,25
22,178,27
23,179,37
24,180,24
25,183,72
26,184,25
27,185,23
28,190,24
29,196,24
30,200,29
31,206,24
32,207,27
33,208,26
34,210,23
35,297,21
36,298,29
37,299,21
38,300,19
39,301,31
40,302,44
41,303,38
42,304,26
43,306,25
44,307,22
45,308,33
46,309,24
47,310,19
48,311,24
49,318,24
