,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switching-cost-rt-taskswitch,relative-switching-cost-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
33,155,POST_TEST,703.333333333333,0.92,0.666666666666667,0.573333333333333,93.4042553191489,51.7755102040816,0.742857142857143,0.6,0.3125,0.75,0.4375,0.5625,0.625,0.95,0.75,0.65,0.4,0.4,0.916666666666667,0.75,0.583333333333333,0.25,0.333333333333333
34,158,PRE_TEST,542.5,0.986666666666667,0.8,0.613333333333333,150.069767441861,14.433962264151,0.771428571428571,0.2,0.8125,0.6875,0.625,0.6875,0.1875,0.75,0.4,0.15,0.1,0,0.916666666666667,0.666666666666667,0.333333333333333,0,0.166666666666667
35,158,POST_TEST,521.111111111111,0.986666666666667,0.693333333333333,0.56,-22.6153846153846,128.431818181818,0.771428571428571,0.8,0.75,0.8125,0.875,0.875,0,0.8,0.4,0.2,0,0.05,1,0.833333333333333,0.583333333333333,0.083333333333333,0.166666666666667
36,165,PRE_TEST,545.111111111111,0.96,0.72,0.546666666666667,3.29090909090905,283.90243902439,0.657142857142857,0.8,0.4375,0.625,0.75,0.5625,0.4375,0.65,0.8,0.7,0.35,0.2,1,0.833333333333333,0.75,0.333333333333333,0.166666666666667
37,165,POST_TEST,531.166666666667,0.96,0.693333333333333,0.64,97.3265306122449,183.531914893617,0.428571428571429,1,1,0.8125,0.9375,0.8125,0.4375,0.65,0.8,0.7,0.45,0.05,1,1,0.666666666666667,0.416666666666667,0.333333333333333
38,168,PRE_TEST,530.555555555556,0.906666666666667,0.733333333333333,0.6,87.7000000000001,142.130434782609,0.628571428571429,0.6,0.5625,0.75,0.8125,0.6875,0.4375,0.55,0.65,0.65,0.45,0.4,1,0.5,0.75,0.583333333333333,0.416666666666667
39,168,POST_TEST,558,0.893333333333333,0.653333333333333,0.586666666666667,-11.7916666666667,68.5208333333333,0.571428571428571,0.6,0.75,0.6875,0.8125,0.75,0.5,0.85,0.7,0.45,0.35,0.4,0.916666666666667,0.75,0.916666666666667,0.5,0.166666666666667
40,177,PRE_TEST,510.388888888889,0.906666666666667,0.746666666666667,0.493333333333333,1,439.25,0.742857142857143,0.4,0.75,1,0.9375,0.8125,0.5,0.7,0.55,0.4,0.3,0.2,0.916666666666667,0.666666666666667,0.75,0.5,0.25
41,177,POST_TEST,489.8125,0.933333333333334,0.626666666666667,0.586666666666667,178.477272727273,57.4423076923077,0.914285714285714,1,1,1,0.875,0.9375,0.375,1,0.5,0.35,0.05,0,1,0.833333333333333,0.583333333333333,0.25,0.166666666666667
42,178,PRE_TEST,478.777777777778,0.786666666666667,0.586666666666667,0.573333333333333,462.659090909091,14.673076923077,0.8,0.7,0.6875,0.75,0.75,0.8125,0.5,0.1,0.35,0.15,0.4,0.4,0.916666666666667,0.75,0.333333333333333,0.166666666666667,0.083333333333333
43,178,POST_TEST,509.833333333333,0.866666666666667,0.666666666666667,0.56,288.159090909091,73.1538461538461,0.7,0.6,0.875,0.625,0.8125,0.75,0.4375,0.25,0.35,0.45,0.25,0.45,0.833333333333333,0.75,0.5,0.333333333333333,0.083333333333333
44,179,PRE_TEST,546.764705882353,0.84,0.64,0.48,104.377777777778,36,0.914285714285714,0.6,0.6875,0.6875,0.6875,0.875,0.0625,0.7,0.6,0.65,0.6,0.55,1,0.916666666666667,0.583333333333333,0.25,0.083333333333333
45,179,POST_TEST,585.294117647059,0.893333333333333,0.56,0.56,-5.20370370370375,170.142857142857,0.4,0.2,0.5625,0.9375,0.75,0.8125,0.5,0.4,0.55,0.3,0.2,0.5,1,0.833333333333333,0.333333333333333,0.25,0
46,180,PRE_TEST,442.388888888889,0.933333333333333,0.693333333333333,0.653333333333333,77.2391304347826,21.06,0.657142857142857,0.8,0.9375,0.75,0.8125,0.875,0.3125,0.9,0.85,0.65,0.45,0.1,0.833333333333333,0.75,0.583333333333333,0.166666666666667,0
47,180,POST_TEST,484.222222222222,0.893333333333333,0.773333333333333,0.573333333333333,75.3125,54.0833333333333,0.714285714285714,0.6,0.9375,0.9375,0.875,0.8125,0.5,0.8,0.8,0.65,0.2,0.15,0.833333333333333,0.833333333333333,0.75,0.583333333333333,0.083333333333333
48,183,PRE_TEST,672.333333333333,0.92,0.64,0.626666666666667,394.619047619048,-31.9074074074074,0.828571428571429,0.6,0.1875,0.4375,0.375,0.375,0.25,0.6,0.3,0.35,0.7,0.25,0.75,0.666666666666667,0.25,0,0
49,183,POST_TEST,685.333333333333,0.946666666666667,0.853333333333334,0.773333333333333,199.977272727273,-8.92307692307691,0.8,1,0.6875,0.9375,0.875,1,0.3125,0.65,0.35,0.45,0.35,0.35,1,0.666666666666667,0.333333333333333,0.166666666666667,0
50,184,PRE_TEST,539.277777777778,0.933333333333334,0.693333333333333,0.6,69.5098039215686,189.477272727273,0.3,0.3,0.375,0.4375,0.25,0.375,0.375,0.75,0.9,0.6,0.4,0.2,0.75,0.666666666666667,0.5,0.083333333333333,0.083333333333333
51,184,POST_TEST,525.055555555556,0.866666666666667,0.666666666666667,0.586666666666667,110.191489361702,1.6875,0.7,0.45,0.6875,0.625,0.375,0.5,0.375,0.9,0.75,0.85,0.45,0.1,0.916666666666667,1,0.583333333333333,0.5,0.25
52,185,PRE_TEST,498.111111111111,0.96,0.853333333333334,0.626666666666667,1.36538461538453,145.977272727273,0.2,0.6,0.25,0.3125,0.4375,0.5,0.25,0.6,0.6,0.3,0.2,0.3,0.916666666666667,0.833333333333333,0.333333333333333,0.166666666666667,0
53,185,POST_TEST,515.5,1,0.813333333333333,0.6,255.227272727273,87.7884615384616,0.657142857142857,0.6,0.4375,0.625,0.5625,0.6875,0.375,0.75,0.65,0.4,0.35,0.2,0.75,0.666666666666667,0.583333333333333,0.166666666666667,0
54,176,PRE_TEST,525.235294117647,1,0.773333333333333,0.653333333333333,212.177777777778,131.392156862745,0.6,0.2,0.75,0.625,0.6875,0.625,0.625,0.9,0.9,0.7,0.4,0.2,0.75,0.75,0.583333333333333,0.25,0.25
55,176,POST_TEST,578.823529411765,0.946666666666667,0.76,0.573333333333333,148.32,174.934782608696,0.771428571428571,0.4,0.4375,0.1875,0.4375,0.375,0,1,0.75,0.7,0.45,0,0.833333333333333,0.916666666666667,0.666666666666667,0.25,0.25
56,190,PRE_TEST,495.222222222222,0.96,0.6,0.493333333333333,-59.4909090909091,86.1463414634146,0.371428571428571,0.4,0.625,0.875,0.75,0.875,0.75,0.65,0.4,0.35,0.45,0.2,0.833333333333333,0.75,0.416666666666667,0.25,0
57,190,POST_TEST,515.722222222222,0.96,0.613333333333333,0.693333333333333,89.4545454545454,14.5576923076923,0.514285714285714,0.6,0.9375,1,0.9375,0.875,0.8125,0.75,0.8,0.55,0.15,0.4,0.833333333333333,0.666666666666667,0.5,0.166666666666667,0
58,196,PRE_TEST,610.555555555556,0.946666666666667,0.72,0.586666666666667,294.261904761905,24.3703703703704,0.685714285714286,1,0.9375,0.875,0.5625,0.8125,0.5625,0.5,0.5,0.35,0.3,0.35,1,0.333333333333333,0.166666666666667,0.083333333333333,0
59,196,POST_TEST,599.529411764706,0.96,0.773333333333333,0.56,160.369565217391,126.94,0.885714285714286,0.6,0.8125,0.8125,0.6875,0.75,0.75,0.9,0.8,0.7,0.55,0.25,0.833333333333333,0.583333333333333,0.166666666666667,0.416666666666667,0.166666666666667
60,200,PRE_TEST,462.470588235294,0.813333333333333,0.653333333333333,0.573333333333333,109.88,184.760869565217,0.685714285714286,0.4,0.875,0.9375,0.875,0.9375,0.5,0.75,0.7,0.35,0.45,0.35,0.833333333333333,0.666666666666667,0.416666666666667,0.25,0
61,200,POST_TEST,465.470588235294,0.933333333333334,0.626666666666667,0.56,-25.2321428571428,104.4,0.885714285714286,1,0.625,0.75,0.8125,0.9375,0.625,0.7,0.6,0.65,0.45,0.2,0.916666666666667,1,0.5,0.166666666666667,0.083333333333333
62,206,PRE_TEST,518.5,0.76,0.586666666666667,0.506666666666667,144.734693877551,93.4347826086956,0.4,0.8,0.375,0.5,0.625,0.5,0.5625,0.45,0.5,0.15,0.05,0,0.5,0.25,0,0,0
63,206,POST_TEST,483.133333333333,0.586666666666667,0.493333333333333,0.546666666666667,-26,4.1521739130435,0.6,0.4,0.3125,0.625,0.625,0.875,0.375,0.3,0.35,0.5,0.55,0.15,0.416666666666667,0.333333333333333,0,0,0
64,207,PRE_TEST,427.6875,0.826666666666667,0.573333333333333,0.493333333333333,12.48,109.488888888889,0.65,0.75,0.625,1,1,0.8125,0.5625,0.7,0.6,0.35,0.45,0.4,0.916666666666667,0.666666666666667,0.416666666666667,0.083333333333333,0
65,207,POST_TEST,455.833333333333,0.88,0.626666666666667,0.506666666666667,4.29411764705878,43.1555555555556,0.95,0.85,0.875,0.875,0.9375,0.9375,0.6875,0.75,0.75,0.6,0.3,0.45,0.666666666666667,0.666666666666667,0.083333333333333,0.166666666666667,0
66,208,PRE_TEST,498.611111111111,0.906666666666667,0.64,0.626666666666667,233.571428571429,-18,0.85,0.7,0.75,0.9375,0.8125,0.9375,0.375,0.6,0.6,0.75,0.35,0.3,0.75,0.5,0.416666666666667,0.416666666666667,0.083333333333333
67,208,POST_TEST,483.166666666667,0.893333333333333,0.626666666666667,0.6,50.96,125.260869565217,0.8,0.9,0.75,0.8125,0.75,0.875,0.4375,0.85,0.7,0.65,0.5,0.25,1,0.833333333333333,0.5,0.416666666666667,0
68,210,PRE_TEST,495.222222222222,0.813333333333333,0.653333333333333,0.56,203.555555555556,114.901960784314,0.514285714285714,0.6,0.875,0.875,0.75,0.8125,0.6875,0.9,0.55,0.6,0.4,0.3,0.75,0.666666666666667,0.25,0.083333333333333,0
69,210,POST_TEST,514.823529411765,0.813333333333333,0.586666666666667,0.64,-25.843137254902,67.4090909090909,0.657142857142857,0.8,0.9375,1,1,1,0.9375,0.8,0.7,0.85,0.6,0.4,0.916666666666667,0.833333333333333,0.5,0.333333333333333,0
70,297,PRE_TEST,543,0.88,0.64,0.653333333333333,99.6956521739131,31.38,0.914285714285714,1,0.4375,0.6875,0.75,0.8125,0.625,0.65,0.4,0.15,0,0,0.916666666666667,0.666666666666667,0.083333333333333,0.083333333333333,0
71,297,POST_TEST,562.176470588235,0.84,0.626666666666667,0.56,36.3191489361702,4.42857142857139,1,1,0.875,0.75,0.8125,0.75,0.5,0.85,0.5,0.15,0,0,0.583333333333333,0.5,0.25,0,0
72,298,PRE_TEST,538.666666666667,0.826666666666667,0.546666666666667,0.56,75.2448979591836,130.170212765958,0.485714285714286,0.4,0.5625,0.5,0.8125,0.8125,0.5625,0.1,0.05,0.15,0.25,0.15,0.5,0.25,0.083333333333333,0.083333333333333,0
73,298,POST_TEST,526.75,0.8,0.6,0.586666666666667,358.717391304348,11.4,0.514285714285714,0.4,0.5,0.6875,0.8125,0.6875,0.625,0.55,0.35,0.3,0.15,0.2,0.916666666666667,0.5,0.166666666666667,0.166666666666667,0.083333333333333
74,299,PRE_TEST,645.764705882353,0.986666666666667,0.64,0.693333333333333,105.46511627907,-35.0754716981132,0.485714285714286,0.4,0.3125,0.625,0.5625,0.3125,0.3125,0.95,0.85,0.7,0.35,0.4,0.833333333333333,0.583333333333333,0.583333333333333,0.25,0.25
